name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	21	19	0.0
Azorhizobium	6	genus	0	4	0	0.0
Azorhizobium caulinodans	7	species	5369772	485	367	0.0
Buchnera aphidicola	9	species	591578	3493	2579	0.0
Cellvibrio	10	genus	0	11	0	0.0
Cellulomonas gilvus	11	species	3526441	476	356	0.0
Dictyoglomus thermophilum	14	species	1959987	274	216	0.0
Methylophilus	16	genus	0	4	0	0.0
Pelobacter	18	genus	0	4	0	0.0
Pelobacter carbinolicus	19	species	3665893	272	242	0.0
Phenylobacterium	20	genus	0	3	0	0.0
Shewanella	22	genus	0	174	55	0.0
Shewanella putrefaciens	24	species	4749735	430	197	0.0
Myxococcales	29	order	0	366	0	0.0
Myxococcaceae	31	family	0	13	0	0.0
Myxococcus	32	genus	0	48	0	0.0
Myxococcus fulvus	33	species	10026214	2203	1237	0.0
Myxococcus xanthus	34	species	9139763	904	544	0.0
Myxococcus macrosporus	35	species	8973512	1055	383	0.0
Archangiaceae	39	family	0	24	0	0.0
Stigmatella aurantiaca	41	species	10260756	830	636	0.0
Cystobacter	42	genus	0	2	0	0.0
Cystobacter fuscus	43	species	12349744	1303	969	0.0
Melittangium	44	genus	0	5	0	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	4186	3097	0.0
Polyangiaceae	49	family	0	24	0	0.0
Chondromyces	50	genus	0	3	0	0.0
Chondromyces crocatus	52	species	11388132	1669	1350	0.0
Sorangium cellulosum	56	species	14124497	7302	6009	0.0
Vitreoscilla	59	genus	0	7	0	0.0
Vitreoscilla filiformis	63	species	3787551	303	210	0.0
Lysobacter	68	genus	0	34	0	0.0
Lysobacter enzymogenes	69	species	6096022	767	521	0.0
Simonsiella	71	genus	0	1	0	0.0
Simonsiella muelleri	72	species	2469862	259	201	0.0
Caulobacter	75	genus	0	14	0	0.0
Hyphomicrobium	81	genus	0	23	0	0.0
Hyphomonas	85	genus	0	9	0	0.0
Leptothrix	88	genus	0	7	0	0.0
Gallionella	96	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	569	437	0.0
Runella slithyformis	106	species	6919729	1008	918	0.0
Spirosoma	107	genus	0	11	0	0.0
Planctomycetales	112	order	0	116	0	0.0
Gemmata	113	genus	0	155	0	0.0
Planctomyces	118	genus	0	63	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	411	214	0.0
Planctopirus limnophila	120	species	5460085	182	149	0.0
Pirellula	123	genus	0	4	0	0.0
Pirellula staleyi	125	species	6196199	470	313	0.0
Planctomycetaceae	126	family	0	107	0	0.0
Isosphaera	127	genus	0	101	0	0.0
Isosphaera pallida	128	species	5529304	629	494	0.0
